USER ID,MANAGER USER ID,DEPARTMENT,DEFAULT PROFILE,USER LOCALE,PASSWORD,PIN,TELEPHONE NUMBER,PRIMARY EXTENSION,ASSOCIATED PC,IPCC EXTENSION,MAIL ID,PRESENCE GROUP,SUBSCRIBE CALLING SEARCH SPACE,DIGEST CREDENTIALS,REMOTE DESTINATION LIMIT,MAXIMUM WAIT TIME FOR DESK PICKUP,ALLOW CONTROL OF DEVICE FROM CTI,ENABLE MOBILITY,ENABLE MOBILE VOICE ACCESS,PRIMARY USER DEVICE,ENABLE EMCC,NAME DIALING,CONTROLLED DEVICE 1,CONTROLLED DEVICE 2,CONTROLLED DEVICE 3,CONTROLLED DEVICE 4
quxie,,,,,,,,114700,,,,,,,,,t,t,t,,,,BOTQUXIE,CSFQUXIE,TABQUXIE,TCTQUXIE
quxie1,,,,,,,,114710,,,,,,,,,t,t,t,,,,BOTQUXIE1,CSFQUXIE1,TABQUXIE1,TCTQUXIE1
quxie2,,,,,,,,114720,,,,,,,,,t,t,t,,,,BOTQUXIE2,CSFQUXIE2,TABQUXIE2,TCTQUXIE2
quxie3,,,,,,,,114730,,,,,,,,,t,t,t,,,,BOTQUXIE3,CSFQUXIE3,TABQUXIE3,TCTQUXIE3
quxie4,,,,,,,,114740,,,,,,,,,t,t,t,,,,BOTQUXIE4,CSFQUXIE4,TABQUXIE4,TCTQUXIE4
quxie5,,,,,,,,114750,,,,,,,,,t,t,t,,,,BOTQUXIE5,CSFQUXIE5,TABQUXIE5,TCTQUXIE5
quxie6,,,,,,,,114760,,,,,,,,,t,t,t,,,,BOTQUXIE6,CSFQUXIE6,TABQUXIE6,TCTQUXIE6
quxie7,,,,,,,,114770,,,,,,,,,t,t,t,,,,BOTQUXIE7,CSFQUXIE7,TABQUXIE7,TCTQUXIE7
quxie8,,,,,,,,114780,,,,,,,,,t,t,t,,,,BOTQUXIE8,CSFQUXIE8,TABQUXIE8,TCTQUXIE8
quxie9,,,,,,,,114790,,,,,,,,,t,t,t,,,,BOTQUXIE9,CSFQUXIE9,TABQUXIE9,TCTQUXIE9
gamao,,,,,,,,104800,,,,,,,,,t,t,t,,,,BOTGAMAO,CSFGAMAO,TABGAMAO,TCTGAMAO
gamao1,,,,,,,,104810,,,,,,,,,t,t,t,,,,BOTGAMAO1,CSFGAMAO1,TABGAMAO1,TCTGAMAO1
gamao2,,,,,,,,104820,,,,,,,,,t,t,t,,,,BOTGAMAO2,CSFGAMAO2,TABGAMAO2,TCTGAMAO2
gamao3,,,,,,,,104830,,,,,,,,,t,t,t,,,,BOTGAMAO3,CSFGAMAO3,TABGAMAO3,TCTGAMAO3
gamao4,,,,,,,,104840,,,,,,,,,t,t,t,,,,BOTGAMAO4,CSFGAMAO4,TABGAMAO4,TCTGAMAO4
gamao5,,,,,,,,104850,,,,,,,,,t,t,t,,,,BOTGAMAO5,CSFGAMAO5,TABGAMAO5,TCTGAMAO5
gamao6,,,,,,,,104860,,,,,,,,,t,t,t,,,,BOTGAMAO6,CSFGAMAO6,TABGAMAO6,TCTGAMAO6
gamao7,,,,,,,,104870,,,,,,,,,t,t,t,,,,BOTGAMAO7,CSFGAMAO7,TABGAMAO7,TCTGAMAO7
gamao8,,,,,,,,104880,,,,,,,,,t,t,t,,,,BOTGAMAO8,CSFGAMAO8,TABGAMAO8,TCTGAMAO8
gamao9,,,,,,,,104890,,,,,,,,,t,t,t,,,,BOTGAMAO9,CSFGAMAO9,TABGAMAO9,TCTGAMAO9
